question,answer,keywords
"To measure the quantity of MnCl2 dissolved in an aqueous solution, it was completely converted to KMnO4 using the reaction. MnCl2 + K2S2O8 + H2O  KMnO4 + H2SO4 + HCl (equation not balanced). Few drops of concentrated HCl were added to this solution and gently warmed. Further, oxalic acid (225 mg) was added in portions till the colour of the permanganate ion disappeared. The quantity of MnCl2 (in mg) present in the initial solution is ____. (Atomic weights in g mol–1 : Mn = 55, Cl = 35.5)",2MnCl2 + 5K2S2O8 + 8H2O  2KMnO4 + 4K2SO4 + 6H2SO4 + 4HCl .......(1) 2KMnO4 + 5H2C2O4 + 3H2SO4  K2SO4 + 2MnSO4 + 8H2O + 10CO2 .......(2) Mass of oxalic acid added = 225 mg Milimoles of oxalic acid added = 2.5 90 225  From equation (2) Milimoles of KMnO4 used to react with oxalic acid = 1 and milimoles of MnCl2 required initially = 1  Mass of MnCl2 required initially = 1 × 126 = 126 mg,equation acid reaction atom mass
"The surface of copper gets tarnished by the formation of copper oxide. N2 gas was passed to prevent the oxide formation during heating of copper at 1250 K. However, the N2 gas contains 1 mole % of water vapour as impurity. The water vapour oxidises copper as per the reaction given below : 2Cu(s) + H2O(g)  Cu2O(s) + H2(g) pH2 is the minimum partial pressure of H2 (in bar) needed to prevent the oxidation at 1250 K. The value of ln  H2 p is_______. (Given : total pressure = 1 bar, R (univer...",2Cu(s) + H2O (g)  Cu2O(s) + H2(g) Gº = –78000 + 178000 = 100000 J/mol Now for the above reaction G = Gº + 2 2 H H O P RT n P          To prevent the above reaction : G  0 Gº + 2 2 H H O P RT n P           0 104 ( H H O 2 2   nP nP  )  –105 H2 nP  – 10 + H O2 nP  – 10 + 2.3 log(0.01) H2 nP  – 10 + 4.6 H2 nP  – 14.6  Minimum H2 nP = –14.6,thermodynamics pressure heat ph energy oxidation reaction
"Consider the following reversible reaction, A(g) + B(g) AB(g) The activation energy of the backward reaction exceeds that of the forward reaction by 2 RT (inJmol–1 ). If the pre-exponential factor of the forward reaction is 4 times that of the reverse reaction, the absolute value of G  (in J mole–1 ) for the reaction at 300 K is _____. (Given : ln(2) = 0.7, RT = 2500 J mol–1 at 300 K and G is the Gibbs energy)","Now, Rate constant of forward reaction Ea /RT f f A e f k   Rate constant of reverse reaction E /RT b b ab K A e   Equilibrium constant (E E )/RT b f b f eq af ab e A A K K K     = 4e+2 = 4e2 Now, G° = –RT ln Keq = –2500 ln(4e2 ) = –2500 (ln 4 + ln e2 ) = –2500 (1.4 + 2) = –2500 × 3.4 = –8500 J/mole",chemical_equilibrium equilibrium exponential energy reaction
"Consider an electrochemical cell : A(s) | An+(aq, 2 M) || B2n+(aq, 1 M) | B(s). The value of H° for the cell reaction is twice that of G° at 300 K. If the emf of the cell is zero, the S°(in J K –1mol–1 ) of the cell reaction per mole of B formed at 300 K is____. (Given : ln (2) = 0.7, R(universal gas constant) = 8.3 J K–1 mol–1 . H, S and G are enthalpy, entropy and Gibbs energy, respectively.) Ans. –11.62 JK–1mol–1","A(s)|An+ (aq, 2M) || B2n+ (aq, 1M) | B(s) Reactions Anode (A  An+ + ne) × 2 Cathode B 2n+ + 2ne  B ______________________________ Overall reaction : 2A(s) + B2n+  2An+ + B. E = Eº – RT nQ 2nF  O = Eº – n 2 2n RT [A ] n 2nF [B ]    Eº = RT n4 2nF  Now Gº = –2nFEº = 2nFRT n4 2nF   = –RTn4. Gº = Hº –TSº = 2Gº = –TSº TSº = Gº Sº = Gº T  = –RT n4 T  = –Rn4 = –8.3 × 2 × 0.7 = –11.62 JK–1m",energy electrochemical reaction
"Dilution processes of different aqueous solutions, with water, are given in LIST-I. The effects of dilution of the solution on [H+ ] are given in LIST-II. (Note : degree of dissociation () of weak acid and weak base is <<1; degree of hydrolysis of salt <<1; [H+ ] represents the concentration of H+ ions) LIST-I LIST-II (P) (10 mL of 0.1 M NaOH + 20 mL of (1) the value of [H+ ] does not change 0.1 M acetic acid) diluted to 60 mL on dilution (Q) (20 mL of 0.1 M NaOH + 20 mL of (2) the value of ...","NaOH + CH3COOH  CH3COONa + H2O M.Mole 1 2 Now solution contains 1 m. mole CH3COOH & 1 m.mole CH3COONa in 30 ml solution. It is a Buffer solution  [H+ ] does not change with dilution. (Q) NaOH + CH3COOH  CH3COONa + H2O M.Mole 2 2 Now solution contain 2 m.mole of CH3COONa in 40 ml solution (salt of weak acid strong base) [H+ ]initial = K Ka w C Now on dilution upto 80 ml, now can. Becomes C 2 .  [H+ ]new = K Kw a C / 2 = [H+ ]initial × 2 (R) HCl + NH3  NH4Cl M.Mole 2 2 Now solution contain 2 m.mole of NH4Cl in 40 ml solution (salt of SA & WB) [H+ ]initial = w b K C K Now on dilution upto 80 ml, new conc. becomes C 2 .  [H+ ]new = w b K C K 2 = initial [H ] 2  (S) Ni(OH)2 (s)  Ni2+ + 2OH–  it is sparingly soluble salt  on dilution [OH– ] conc. in saturated solution of Ni(OH)2 remains const.  [H+ ]new = [H+ ]initial",acid ratio buffer concentration equilibrium chemical_equilibrium base
"Total number of cis N–Mn–Cl bond angles (that is, Mn–N and Mn–Cl bonds in cis positions) present in a molecule of cis-[Mn(en)2Cl2 ] complex is _________ (en = NH2CH2CH2NH2 )","This is the cis form of [Mn(en)2Cl2 ] Therefore, No. of N–Mn–Cl bonds = 6",molecule complex bond
The number of geometric isomers possible for the complex [CoL2Cl2 ] − (L=H2NCH2CH2O − ) is:,The general form of complex is [M(AB)2a2 ] The total possible geometrical isomers are 5There are 5 geometric isomers of the complex [CoL2Cl2 ] − as shown.,isomer complex
"Among the complex ions, [Co(NH2 .CH2 .CH2 .NH2 )2Cl2 |] + , [CrCl2 (C2O4 )2 ] 3− , [Fe(H2O)4 (OH)2 ] + , [Fe(NH3 )2 (CN)4 ] − , [Co(NH2− CH2− NH2 )2 (NH3 )Cl] 2+ and [Co(NH3 )4 (H2O)Cl] 2+ , the number of complex ion(s) that show(s) cis-trans isomerism is:","Basically, all the complexes given show cis-trans isomerism.",isomer complex
EDTA 4- i9s ethylenediamine tetraacetate ion The total number of N-CO-O bond angles in [Co(EDTA)] -1 complex ion is.,"DTA is a multidentate ligand as it can donate six pairs of electrons – two pairs, from the two nitrogen atoms and four pairs from the four-terminal oxygen of the -COO − groups.",electron bond complex atom atomic_structure
The pair(s) of coordination complexes/ions exhibiting the same kind of isomerism is/are A. [Cr(NH3 )5Cl]Cl2 and [Cr(NH3 )4Cl2 ]ClB. [Co(NH3 )4Cl2 ] + and [Pt(NH3 )2 (H2O)Cl] + C. [CoBr2Cl2 ] 2− and [PtBr2Cl2 ] 2− D. [Pt(NH3 )3 (NO3 )]Cl and [Pt(NH3 )3Cl]B,Octahedral [Co(NH3 )4Cl2 ] + and square planar [Pt(NH3 )2 (H2O)Cl] + which shows geometrical (cis-trans) isomerism. Square planar [Pt(NH3 )3 (NO3 )]Cl and square planar [Pt(NH3 )3Cl]Br shows ionization isomerism,isomer coordination complex
"The geometries of the ammonia complexes of Ni 2+ , Pt 2+ and Zn 2+ , respcetively, are A. octahedral, square planar and tetrahedral B. square planar, octahedral and tetrahedral C. tetrahedral, square planar and octahedral D. octahedral, tetrahedral and square planar",Ni 2+ → Octahedral → [Ni(NH3 )6 ] 2+ Pt 2+ → sq. Planar → [Pt(NH3 )4 ] 2+ Zn 2+ → Tetrahedral → [Zn(NH3 )4 ] 2+,complex
"Consider the following complex ions, P,Q and R. P = [FeF6 ] 3− ,Q = [V(H2O)6 ] 2+ and R = [Fe(H2O)6 ] 2+ The correct order of the complex ions, according to their spin-only magnetic moment values (in B.M.) is A. R < Q < P B. Q < R < P C. R < P < Q D. Q < P < R","The correct option is B. Q < R < P μspin only = √n(n + 2) Magnetic moment arises due to the presence of unpaired electrons. More the number of unpaired electrons, greater will be the magnetic moment. P has Fe in +3 oxidation state. Fe(+3) : 3d 5 Q has V in +2 oxidation state. V(+2) : 3d 3 R has Fe in +2 oxidation state. Fe(+2) : 3d 6 Hence the number of unpaired electrons in P,Q and R are 5,3 and 4 respectively.",electron oxidation complex atomic_structure magnetic
"Among the species given below, the total number of diamagnetic species is____. H atom, NO2 monomer, O 2– (superoxide), dimeric sulphur in vapour phase, Mn3O4 , (NH4 )2 [FeCl4 ], (NH4 )2 [NiCl4 ], K2MnO4 , K2CrO4","Paramagnetic: H,NO2 monomer, O2 - (superoxide), S2 (Vapour), [Mn3O4 is mixed oxide of Mn +2 and Mn +3 ], (NH4 )2 [FeCl4 ], (NH4 )2 [NiCl4 ], K2MnO4 Diamagnetic: K2CrO4",ph magnetic atom
"For the octahedral complexes of Fe 3+ in SCN – (thiocyanato-S) and in CN – ligand environments, the difference between the spin-only magnetic moments in Bohr magnetons (when approximated to the nearest integer) is ____. [Atomic number of Fe = 26]",SCN – is a weak field effect (WFE) ligand whereas CN – is a strong field effect (SFE) ligandSpin only magnetic moment = √1(1 + 2) = √3 B.M. BM Difference = √35 − √3 ≃ 4,complex atom atomic_structure magnetic bohr
Choose the correct statement(s) among the following: A. [FeCl4 ] – has tetrahedral geometry B. [Co(en)(NH3 )2Cl2 ] + has 2 geometrical isomers C. [FeCl4 ] – has higher spin-only magnetic moment than [Co(en)(NH3 )2Cl2 ] + D. The cobalt ion in [Co(en)(NH3 )2Cl2 ] + has sp 3d 2 hybridization,(A and C,hybridization isomer magnetic geometry
Match each set of hybrid orbitals from LIST -I was complex(es given in LIST - II. List-I List-II P. dsp 2 1. [FeF6 ] 4- Q. sp 3 2 [Ti(H2O)3Cl3 ] R. sp 3d 2 3 [Cr(NH3 )6 ] 3+,"dsp 2 : [Ni(CN)4 ] 2- sp 3 : [FeCl4 ] 2- ; Ni(CO)4 sp 3d 2 : [FeF6 ] 4- d 2sp 3 : [Ti(H2O)3Cl3 ], [Cr(NH3 )6 ] 3+",orbit complex
A solution of 0.1 M weak base (B) is titrated with 0.1 M of a strong acid (HA). The variation of pH of the solution with the volume of HA added is shown in the figure below. What is the pKb of the base? The neutralization reaction is given by B + HA → BH + + A - .,kb = 5 × 10 -4 pkb = –logkb = - log (5 × 10 -4 ) = - log5 + 4log10 pkb = 4 – 0.7 pkb = 3.3,acid ph reaction base volume
"An acidified solution of 0.05 MZn 2+ is saturated with 0.1 M H2S. What is the minimum molar concentration (M) of H+ required to prevent the precipitation of ZnS? Use sp(ZnS) = 1.25 x 10 -22 and overall dissociation constant of H2S, KNET = 1 2 = 1 × 10 -21 .",0.2,ratio acid concentration
The solubility of salt of a weak acid(AB) at pH 3 is Y × 10 -3 mol L -1 . The value of Y is___. (Given that the value of solubility product of AB (Ksp) = 2 × 10 -10 and the value of ionization constant of HB(Ka ) = 1 × 10 -8 ),AB ⇌ A + + B− S (S − x) 2 × 10 -10 = S(S−x)....(1) B - + H + ⇌ HB (S−x) 10 -3 x 1 / 10 -8 = x / (S − x) × 10 -3 X / S − x = 10 5 ....(2) Multiply equations (1) and (2). S.x = 2 × 10 -5 From Eq. (1) S 2 − Sx = 2 × 10 -10 S 2 − 2 × 10 -5 = 2 × 10 -10 S 2 = 2 × 10 -5 + 2 × 10 -10 ≅ 2 × 10 -5 S = 4.47 × 10 -3 y = 4.47,solubility ph equation acid
"The initial rate of hydrolysis of methyl acetate (1M) by a weak acid (HA,1M) is 1/100th of that of a strong acid (HX,1M), at 25 oC. The Ka (HA) is. A. 1 × 10 -4 B. 1 × 10 -5 C. 1 × 10 -6 D. 1 × 10 -3","Acid hydrolysis of an ester follows first-order kinetics For the same concentration of ester in each case, the rate is dependent on [H + ] from acid. Rate = k[RCOOR'] Also for weak acid, HA ⇌ H + + A - KA = [H + ][A - ] / [HA] (Rate)HA = k[H + ]HA (Rate)HX = k[H + ]HX (Rate)HX = 100(Rate)HA ∴ Also in strong acid, [H + ] = [HX] = 1M (Rate)HX / (Rate)HA = 100 = [H + ]HX / [H + ]HA = 1 / [H + ]HA ∴ [H + ]HA = 1 / 100 HA ⇌ H + + A - 1 0 0 (1−x) x x x = 0.01 ∴ KA = [H + ][A - ] / [HA] = 0.01 × 0.01 / 0.99 = 1.01 × 10 -4",ratio acid kinetic concentration
"Aqueous solutions of HNO3 , KOH, CH3COOH and CH3COONa of identical concentrations are provided. The pair(s) of solutions which form a buffer upon mixing is (are) A. HNO3 and CH3COOH B. KOH and CH3COONa C. HNO3 and CH3COONa D. CH3COOH and CH3COONa","C and D) A buffer solution consists of a weak acid and its salt with a strong base or a weak base and its salt with strong acid. (C) In HNO3 and CH3COONa combination, if HNO3 is present in a limiting amount, it will be neutralised completely, leaving behind some excess of CH3COONa. Now the solution contains acetic acid (weak acid) and sodium acetate (salt with strong base NaOH). Hence, it is a buffer solution. CH3COONa + HNO3 → CH3COOH + NaNO3 Buffer combination (D) Acetic acid (weak acid) and sodium acetate (salt with strong base NaOH) form a buffer solution.",acid ratio buffer concentration base
"Dilution processes of a different aqueous solution, with water, are given in LIST-I. The effects of dilution of the solutions on [H+] are given in LIST-II. (Note: Degree of dissociation (α) of a weak acid and a weak base is << 1; degree of hydrolysis of salt << 1; [H + ] represents the concentration of H + ions) List-I List-II P. (10 mL of 0.1 M NaOH + 20 mL of 0.1 M acetic acid) diluted to 60 mL 1. the value of [H + ] does not change on dilution Q. (20 mL of 0.1 M NaOH + 20 mL of 0.1 M aceti...","P → 1; Q → 5; R → 4; S → 1 Kw / Ka = [CH3COO - ][OH - ][CH3COOH] [OH - ] = (Kw / Ka × C) (P) is a buffer, so [H + ] does not change on dilution, as [salt] = [acid]. (Q) contains only CH3COONa So, CH3COO - + H2O ⇌ CH3COOH + OH - [OH - ] = √Kh × C ⇒ [H + ] decreases by √2 times (R) is also salt hydrolysis So, NH4 + + H2O ⇌ NH4OH + H + [H + ] = √Kw / Ka × C So, C is made ½ so, [H + ] becomes 1 / √2 (S) It is the case of solubility equilibria. So, dilution does not affect [H + ] or [OH - ]",acid ratio buffer concentration equilibrium chemical_equilibrium solubility base
"Thermal decomposition of gaseous X2 to gaseous X at 298 K takes place according to the following equation; X2 (g) ⇔ 2X(g) The standard reaction Gibbs energy ΔrG o of this reaction is positive. At the start of the reaction, there is one mole of X2 and no. X. As the reaction proceeds the number of moles of X formed is given by β. Thus βequilibrium is the number of moles of X formed at equilibrium. The reaction is carried out at a constant total pressure of 2 bar. Consider the gases to behave id...",X2 (g) ⇌ 2X(g) Initial mole 1 0 T = teq (1−α) 2α Given 2α = βequilibrium α = βequilibrium / 2 Total mole at equilibrium = ( 1 + α) = (1 + (βeq / 2),pressure equation equilibrium chemical_equilibrium energy reaction
"The incorrect statement among the following for this reaction is: A. Decrease in the total pressure will result in the formation of more moles of gaseous X B. At the start of the reaction, dissociation of gaseous X2 takes place spontaneously C. βequilibrium = 0.7 D. KC < 7 Solution: (C)","(A) Correct statement. As on decrease in pressure reaction move in the direction where no. of gaseous molecules increase.(B) Correct statement At the start of reaction QP < KP so dissociation of X2 takes place spontaneously. (C) Incorrect statement as KP= 8β 2eq / 4 − β 2eq = 8 × (0.7) 2 / 4 − (0.7) 2 >1 (D) Correct statement. As ΔG o > 0 and ΔG o = −RTlnKp ΔG o >1, So Kp should be less than 1. So K < 1 Kp = KC(RT) ∆ng (RT > 1) KC = KP / RT KC < KP So, KC < 1",pressure chemical_equilibrium equilibrium molecule reaction
": When 100 mL of 1.0 M HCl was mixed with 100 mL of 1.0 M NaOH in an insulated beaker at constant pressure, a temperature increase of 0.7 oC was measured for the beaker and its contents (Expt. 1). Because the enthalpy of neutralization of a strong acid with a strong base is a constant (-57.0 kJ mol -1 ), the experiment could be used to measure the calorimeter constant. In a second experiment (Expt. 2), 100 mL of 2.0 M acetic acid (Ka = 2.0 × 10 -5 ) was mixed with 100 mL of 1.0 M NaOH. (under...","Let the heat capacity of the insulated beaker be C Mass of aqueous content in expt. 1 = (100 + 100) × 1 = 200 g ⇒ Total heat capacity =(C + 200 × 4.2) J/K Moles of acid, base neutralised in expt. 1 = 0.1 × 1 = 0.1 ⇒ Heat released in expt. 1 = 0.1 × 57 = 5.7 kJ ⇒ 5.7 × 1000 = (C + 200 × 4.2) × ΔT 5.7 × 1000 = (C + 200 + 4.2) × 5.7 ⇒ (C + 200 × 4.2) = 1000 In second experiment, nCH3COOH = 0.2, nNaOH = 0.1 The total mass of aqueous content = 200 g ⇒ Total heat capacity = (C + 200 × 4.2) = 1000 ⇒ Heat released =1000 × 5.6 = 5600 J Overall, only 0.1 mol of CH3COOH undergoes neutralization. ⇒ Δ Hneutralization of CH3COOH = −5600 / 0.1 = −56000 J/mol = −56 kJ/mol ⇒ ΔHionization of CH3COOH = 57 − 56 = 1 kJ/mol",thermodynamics pressure acid heat base temperature mass
